location	GBDR7	Testing20	Incidence20	Mortality20	Vaccination20	Testing21	Incidence21	Mortality21	Vaccination21	max20_21_tests	max20_21_cases	max20_21_deaths	max20_21_peopleVaccinated	Age	GE	VA	PS	RQ	RL	CC	LEB	EYS	MYS	GNI	Gini	UP	CHE	MMR	FLB	ABR	SSP	PSE	EP	VE	Population	PD	AAG	GDP	GI	HDI	log_GDP	log_PD	log_GNI	log_MMR	GI_10
Ghana	Sub-Saharan Africa	2118	172.6042451	1.055712368		4602	277.9990047	3.025324996	18197.37082	6720.961166	450.6032498	4.081037364	18197.37082	21.1	-0.15	0.58	0.13	0	-0.04	-0.12	64.1	11.5	7.3	5.269	43.5	56.7	3.26237	308	63.629	66.6	13.1	55.7	67.798	68.701	31732128	126.719	0.1	5412.628122	0.538	0.611	3.73340818964208	2.10284173703428	0.721728198572788	2.48855071650044	5.38
Ethiopia	Sub-Saharan Africa	1527	105.419052	1.631372216		1961	251.177027	4.253614295	7927.097191	3488.631372	356.596079	5.884986511	7927.097191	19.8	-0.55	-1.02	-1.74	-0.96	-0.4	-0.36	66.6	8.8	2.9	2.207	35	21.2	3.502557	401	73.441	66.7	37.3	11.5	79.55	85.971	117876226	104.957	-0.8	2219.708795	0.517	0.485	3.34629600282001	2.0210114087116	0.343802333161655	2.60314437262018	5.17
Mozambique	Sub-Saharan Africa	845	57.96093001	0.516120286		2472	529.9187313	5.720851368	26844.36439	3318.485548	587.8796613	6.236971655	26844.36439	17.7	-0.72	-0.6	-1.16	-0.69	-1.02	-0.72	60.9	10	3.5	1.25	54	36.5	4.941198	289	77.281	148.6	41.2	14	78.097	83.146	32163045	37.728	-0.8	1280.450053	0.523	0.456	3.10736264244557	1.576663783415	0.0969100130080564	2.46089784275655	5.23
Uganda	Sub-Saharan Africa	1592	74.73123885	0.532642576		2991	223.9242121	6.457495451	17729.58747	4584.089652	298.655451	6.990138027	17729.58747	16.4	-0.58	-0.72	-0.78	-0.43	-0.33	-1.05	63.4	11.4	6.2	2.123	42.8	24.4	6.187756	375	66.998	118.8	34.9	27.5	70.337	75.239	47123533	213.759	-0.6	2181.247843	0.535	0.544	3.33870501483682	2.3299244090987	0.326949994165999	2.57403126772772	5.35
Kenya	Sub-Saharan Africa	1894	175.4237856	3.037153186		3394	361.1302444	6.743571265	10785.091	5288.794894	536.55403	9.780724451	10785.091	20	-0.35	-0.34	-1	-0.44	-0.56	-0.86	66.7	11.3	6.6	4.244	40.8	27.5	4.802543	342	72.128	75.1	23.3	29.8	74.696	51.3	54985702	87.324	-0.6	4329.87139	0.518	0.601	3.63647499671299	1.94113362096908	0.627775375229303	2.53402610605614	5.18
Rwanda	Sub-Saharan Africa	5466	63.1415604	0.692952828		24584	778.8413181	9.475376712	57468.96569	30050.91622	841.9828785	10.16832954	57468.96569	20.3	0.34	-1.1	0.03	0.16	0.11	0.55	69	11.2	4.4	2.155	43.7	17.3	6.571598	248	83.932	39.1	55.7	10.9	83.655	67.996	13276517	494.869	0	2226.220751	0.402	0.543	3.34756822657001	2.69449024922313	0.33344727449675	2.39445168082622	4.02
Senegal	Sub-Saharan Africa	1615	111.3029611	2.384232709		3818	325.1570046	8.606498558	7655.13737	5434.02107	436.4599657	10.99073127	7655.13737	18.7	0.01	0.24	-0.02	-0.21	-0.28	0.03	67.9	8.6	3.2	3.309	40.3	47.7	4.134064	315	35.048	72.7	41.8	10.3	45.684	64.628	17196308	82.328	0	3394.868808	0.533	0.512	3.53082299597659	1.91554756519272	0.519696767159853	2.4983105537896	5.33
Malawi	Sub-Saharan Africa	429	33.50522639	0.961945585		1147	348.6009367	11.07000872	7597.207019	1576.603366	382.1061631	12.03195431	7597.207019	18.1	-0.79	-0.03	-0.24	-0.72	-0.27	-0.4	64.3	11.2	4.7	1.035	44.7	17.2	9.648231	349	72.593	132.7	22.9	17.6	76.718	59.189	19647681	197.519	-0.5	1059.72349	0.565	0.483	3.02519256108294	2.29560887818157	0.0149403497929365	2.54282542695918	5.65
Mauritania	Sub-Saharan Africa	2196	300.8098243	7.266848303		3128	567.7146704	10.86885957	24423.1023	5325.154813	868.5244947	18.13570787	24423.1023	20.3	-0.77	-0.84	-0.75	-0.81	-0.59	-0.81	64.9	8.6	4.7	5.135	32.6	54.5	4.403152	766	28.85	71	20.3	12.7	45.884	52.503	4775110	4.289	-0.7	5197.028861	0.634	0.546	3.71575512862548	0.632356046239073	0.710540447933297	2.8842287696326	6.34
Zambia	Sub-Saharan Africa	3176	109.5363655	2.050668748		12463	1234.359885	17.68437534	4263.123633	15639.6049	1343.896251	19.73504408	4263.123633	17.7	-0.77	-0.43	-0.13	-0.62	-0.62	-0.7	63.9	11.5	7.2	3.326	57.1	44.1	4.470341	213	70.37	120.1	18	38.5	74.615	78.134	18920657	22.995	-0.5	3479.492215	0.539	0.584	3.54151586914363	1.36163341391006	0.521922244883501	2.32837960343874	5.39
Zimbabwe	Sub-Saharan Africa	1432	91.88207581	2.405220561		9879	1321.155187	30.75104304	27327.93049	11312.03721	1413.037263	33.1562636	27327.93049	19.6	-1.25	-1.12	-1.08	-1.42	-1.27	-1.25	61.5	11	8.5	2.666	44.3	32.2	6.635916	458	78.106	86.1	34.6	59.8	83.099	64.739	15092171	42.729	-1.2	2835.948532	0.527	0.571	3.4526983448216	1.63072272900807	0.42586014507784	2.66086547800387	5.27
Botswana	Sub-Saharan Africa	22699	617.585223	1.752014817		61851	8539.15336	100.1985617	48772.63019	84551.31735	9156.738583	101.9505765	48772.63019	25.8	0.26	0.49	1.09	0.42	0.44	0.63	69.6	12.8	9.6	16.437	53.3	70.2	6.134568	144	65.375	46.1	10.8	89.6	70.82	25.912	2397240	4.044	0.6	17766.48804	0.465	0.735	4.24960158787357	0.606811146918964	1.21582255515437	2.15836249209525	4.65
Namibia	Sub-Saharan Africa	8083	925.3118256	7.923183002		25620	4793.834913	132.4910797	13390.33387	33704.75669	5719.146739	140.4142627	13390.33387	22	0.05	0.56	0.65	-0.11	0.3	0.32	63.7	12.6	7	9.357	59.1	51	8.550957	195	56.089	63.6	37	40.6	59.534	31.02	2587344	3.078	0.3	9637.18055	0.44	0.646	3.98394999545107	0.48826861549546	0.971136629476806	2.29003461136252	4.4
South Africa	Sub-Saharan Africa	11007	1760.702626	47.41514589		24352	3999.075913	104.3869361	31487.4742	35360.29015	5759.778539	151.802082	31487.4742	27.3	0.3	0.7	-0.24	0.2	-0.12	0.06	64.1	13.8	10.2	12.129	63	66.9	8.113118	119	49.61	67.9	45.3	75	56.017	10.298	60041996	46.754	0.2	12481.81287	0.406	0.709	4.0962776672582	1.66981877250509	1.08382499605334	2.07554696139253	4.06
