location	GBDR7	Testing20	Incidence20	Mortality20	Vaccination20	Testing21	Incidence21	Mortality21	Vaccination21	max20_21_tests	max20_21_cases	max20_21_deaths	max20_21_peopleVaccinated	Age	GE	VA	PS	RQ	RL	CC	LEB	EYS	MYS	GNI	Gini	UP	CHE	MMR	FLB	ABR	SSP	PSE	EP	VE	Population	PD	AAG	GDP	GI	HDI	log_GDP	log_PD	log_GNI	log_MMR	GI_10
Cyprus	High-Income	115806	2493.959297	13.39278241		2049602	16125.02162	57.81217739	71527.50264	2165408.898	18618.98092	71.20495979	71527.50264	37.3	0.88	0.91	0.29	1	0.58	0.38	81	15.2	12.2	38.207	31.4	66.8	6.684569	6	57.835	4.6	17.9	79.9	63.059	11.06	896005	127.657	0.8	39544.68185	0.086	0.887	4.59708808584893	2.10604463408756	1.58214293837945	0.778151250383644	0.86
Canada	High-Income	47192	1532.085565	41.33665011	258.5904828	91145	4201.772238	38.3078526	83084.48903	138337.5784	5733.857803	79.64450271	83343.07951	41.4	1.64	1.48	1.11	1.6	1.66	1.6	82.4	16.2	13.4	48.527	33.8	81.5	10.572769	10	60.836	8.4	33.2	100	65.071	10.691	38067913	4.037	1.6	49031.37994	0.08	0.929	4.69047411620955	0.606058749410314	1.68598344351562	1	0.8
Israel	High-Income	86790	4555.612959	35.78732106	10674.25466	291061	10339.7912	52.93294586	60039.68356	377851.9966	14895.40415	88.72026692	70713.93822	30.6	1.1	0.66	-0.83	1.24	1	0.57	83	16.2	13	40.187	39	92.5	7.407464	3	59.693	9.6	23.3	87.9	64.042	8.268	8789776	402.606	0.7	40161.91858	0.109	0.919	4.60381445136815	2.60488024285138	1.60408558688188	0.477121254719662	1.09
Malta	High-Income	99739	2475.101724	42.43363689		200369	7692.113931	49.79655106	86149.00213	300108.8936	10167.21566	92.23018795	86149.00213	42.4	1.04	1.12	0.95	1.22	0.92	0.37	82.5	16.1	11.3	39.555	29.2	94.7	9.340999	6	46.047	12.9	14.9	78.7	56.527	9.809	514564	1454.037	0.9	43340.19972	0.175	0.895	4.63689090830115	3.16257545789261	1.59720138884912	0.778151250383644	1.75
Ireland	High-Income	47663	1841.877748	44.89349985	46.35850901	153484	13983.41208	73.75217343	78333.89927	201147.3029	15825.28983	118.6456733	78380.25778	38.7	1.48	1.39	0.98	1.47	1.5	1.57	82.3	18.7	12.7	68.371	32.8	63.4	7.184383	5	55.973	7.5	24.3	81.9	62.067	10.61	4982904	69.874	1.3	86781.3904	0.093	0.955	4.93842660405789	1.84431560554436	1.83487193197413	0.698970004336019	0.93
Netherlands	High-Income	36281	4649.348568	66.7264734		92458	13623.08388	55.55201643	77543.94753	128739.2185	18272.43245	122.2784898	77543.94753	43.2	1.85	1.53	0.85	1.75	1.76	2.03	82.3	18.5	12.4	57.707	28.5	91.9	10.100835	5	58.263	3.8	33.8	87.6	63.62	12.653	17173094	508.544	1.6	57141.37028	0.043	0.944	4.75695065078084	2.70632853470323	1.7612284973322	0.698970004336019	0.43
Germany	High-Income	41922	2082.144449	40.27510167	246.1630996	68271	6491.330662	93.34870122	73408.57121	110193.4064	8573.475112	133.6238029	73654.73431	46.6	1.36	1.38	0.67	1.58	1.56	1.86	81.3	17	14.2	55.314	31.9	77.4	11.246835	7	55.275	8.1	31.6	95.9	60.811	5.62	83900471	237.016	1.5	53815.3654	0.084	0.947	4.73090629343008	2.37477766447916	1.74283506535968	0.845098040014257	0.84
Switzerland	High-Income	37730	5189.562405	90.3333764	72.10147813	127197	10100.6208	49.84226941	68503.32293	164928.3104	15290.18321	140.1756458	68575.42441	43.1	2.02	1.54	1.19	1.59	1.83	2.08	83.8	16.3	13.4	69.394	32.7	73.8	12.346322	5	62.904	2.8	38.6	95.6	68.253	8.941	8715494	214.243	1.7	68627.82868	0.025	0.955	4.8365002584388	2.33090664104547	1.84132192175833	0.698970004336019	0.25
Luxembourg	High-Income	260181	7311.590482	77.975596	197.0655972	342095	9034.299811	66.16111176	72964.36436	602276.5724	16345.89029	144.1367078	73161.42996	39.7	1.84	1.5	1.23	1.84	1.79	2.06	82.3	14.3	12.3	72.712	34.9	91.2	5.481074	5	54.914	4.7	25	100	59.327	5.615	634814	231.447	1.7	114481.5336	0.065	0.916	5.05873543861996	2.36445155586029	1.86160609041498	0.698970004336019	0.65
Sweden	High-Income	41133	4304.844048	85.89432508		108059	8635.740838	64.79229311	75518.61147	149193.049	12940.58489	150.6866182	75518.61147	41	1.72	1.5	1.02	1.68	1.81	2.13	82.8	19.48234	12.54847	54507.80504	28.8	87.7	11.018746	4	61.384	5.1	47.3	89.3	64.562	6.063	10160159	24.718	1.7	53205.05601	0.039	0.945	4.72595290471814	1.39301332790129	4.73645869389324	0.602059991327962	0.39
Austria	High-Income	41783	3989.960491	68.80405243	58.02231808	1324779	10149.25017	83.05805815	73410.6286	1366562.259	14139.21066	151.8621106	73468.65092	44.4	1.66	1.4	0.85	1.4	1.81	1.51	81.5	16.1	12.5	56.197	29.7	58.5	10.396617	5	55.059	7.3	38.5	100	60.684	7.385	9043072	106.749	1.4	56352.44454	0.069	0.922	4.75091276026155	2.02836381534562	1.74971313197082	0.698970004336019	0.69
Uruguay	High-Income	18340	548.5843946	5.193460716		108216	11312.67732	171.8432941	79460.29327	126557.4357	11861.26172	177.0367548	79460.29327	35.6	0.78	1.31	1.05	0.58	0.68	1.42	77.9	16.8	8.9	20.064	39.7	95.4	9.296212	17	55.579	58.7	20.9	58.8	64.021	24.32	3485152	19.751	0.9	21561.06205	0.288	0.817	4.33367014942261	1.29558908899982	1.30241751915062	1.23044892137827	2.88
Andorra	High-Income	125935	10405.4089	108.5916695		218985	20284.6653	72.39444631	73797.08871	344920.7539	30690.0742	180.9861158	73797.08871	46.1	1.83	1.09	1.62	1.34	1.7	1.31	81.9	13.3	10.5	56	33	88	10.320552	10	55.579	2.7	46.4	71.5	62.218	10.61	77354	163.755	1.5	40897.33	0.08	0.868	4.61169495582844	2.21419456936158	1.7481880270062	1	0.8
France	High-Income	53238	3946.302394	95.87968319	3.365370354	237555	10912.38023	87.74732283	78772.04028	290793.3479	14858.68263	183.627006	78775.40565	42	1.25	1.07	0.31	1.2	1.33	1.15	82.66	15.64217	11.4795	47172.53748	31.6	80.7	11.312892	8	50.752	4.7	36.9	81.7	55.126	7.428	67422000	122.578	1.2	46183.52179	0.049	0.901	4.66448704758603	2.08841253106365	4.6736892382114	0.903089986991944	0.49
Portugal	High-Income	55879	4068.461179	67.91947579	322.0815106	207741	9598.499123	118.5001106	91271.98347	263621.4397	13666.9603	186.4195864	91594.06498	46.2	1.02	1.26	1.03	0.83	1.18	0.75	82.1	16.5	9.3	33.967	33.8	65.8	8.969574	8	54.195	8.4	38.7	53.9	58.811	11.848	10167923	112.371	1.1	34797.99431	0.075	0.864	4.54155421276261	2.05065424570817	1.53105719123329	0.903089986991944	0.75
Spain	High-Income	48868	4125.05358	108.7533865		108107	9341.021051	82.5068476	84853.00665	156976.7564	13466.07463	191.2602341	84853.00665	45.5	0.89	1.01	0.4	0.77	0.9	0.74	83.6	17.6	10.3	40.975	34.7	80.6	8.87313	4	51.853	7.7	41.9	75.4	57.492	10.982	46745211	93.105	0.8	40883.32536	0.07	0.904	4.6115462131238	1.96897300444108	1.61251896224254	0.602059991327962	0.7
Greece	High-Income	32615	1338.86209	46.65044861	22.55382375	422982	10336.79638	153.8172708	71997.7452	455598.2804	11675.65847	200.4677194	72020.29902	45.3	0.44	0.97	0.13	0.55	0.32	0.06	82.2	17.9	10.6	30.155	34.4	79.4	8.04139	3	44.168	7.2	20.7	62	51.767	25.796	10370747	83.479	0.4	30314.56628	0.116	0.888	4.48165135902818	1.92157723798466	1.47935933280697	0.477121254719662	1.16
Chile	High-Income	33538	3169.693555	86.44434245	45.01268506	107627	6233.07535	117.1485318	90017.05256	141165.3965	9402.768905	203.5928742	90062.06525	35.4	0.99	1.02	0.07	1.05	1.07	1.15	80.2	16.4	10.6	23.261	44.4	87.6	8.98351	13	51.798	41.1	22.7	77.8	62.644	22.694	19212362	24.282	0.9	24226.15089	0.247	0.851	4.38428441785092	1.38528445477521	1.36662838129297	1.11394335230684	2.47
United Kingdom	High-Income	72014	3653.340325	107.862649		504313	15355.51702	110.204047	75925.75754	576327.8622	19008.85735	218.0666961	75925.75754	40.8	1.38	1.25	0.47	1.48	1.5	1.69	81.3	17.5	13.2	46.071	34.8	83.7	9.631694	7	57.647	13.4	28.9	78	62.774	12.998	68207114	272.898	1.4	46699.30249	0.118	0.932	4.66931039390645	2.43600035284781	1.66342763898957	0.845098040014257	1.18
Italy	High-Income	44061	3490.565308	122.8459612	67.56618974	188079	6656.758902	104.763375	80351.74772	232140.9257	10147.32421	227.6093362	80419.31391	47.9	0.4	1.06	0.44	0.5	0.24	0.54	83.5	16.1	10.4	42.776	35.9	70.7	8.840259	2	40.759	5.2	35.3	75.9	49.555	16.866	60367471	205.859	0.6	42412.66455	0.069	0.892	4.62749555760498	2.3135698587753	1.63120017109228	0.301029995663981	0.69
Belgium	High-Income	59891	5557.749631	167.8768852	8.10671358	175433	12541.30942	75.67698795	76691.56508	235325.0517	18099.05905	243.5538732	76699.67179	41.8	1.12	1.28	0.59	1.35	1.37	1.48	81.6	19.8	12.1	52.085	27.4	98	10.338669	5	48.608	4.7	43.3	84.7	53.562	10.189	11632334	375.564	1.2	51707.7919	0.043	0.931	4.71355599230464	2.57468395592991	1.71671266849752	0.698970004336019	0.43
United States	High-Income	77436	6065.614199	105.6587783	1649.380406	139918	10394.14064	142.9776052	71454.90174	217355.2919	16459.75484	248.6363835	73104.28214	38.3	1.32	0.87	-0.02	1.24	1.37	1.07	78.9	16.3	13.4	63.826	41.4	82.5	17.061269	19	56.126	19.9	23.7	96.1	62.049	3.837	332915074	35.608	1.1	62682.80034	0.204	0.926	4.79714839023821	1.55154758127447	1.8049976278802	1.27875360095283	2.04
Argentina	High-Income	11240	3564.268536	94.82341761		51365	8834.16576	162.0933362	83757.44036	62605.08883	12398.4343	256.9167538	83757.44036	31.9	-0.22	0.59	0.04	-0.57	-0.47	-0.12	76.7	17.7	10.9	21.19	41.4	92	9.124315	39	50.721	62.8	39.9	59.2	61.302	21.805	45605823	16.177	-0.1	22033.94531	0.328	0.845	4.34309226714412	1.20889798549337	1.32613095671079	1.5910646070265	3.28
Dominican Republic	Latin America and Caribbean	7999	1559.151535	22.03818723		12010	2264.008354	16.7340502	63344.68839	20010.40013	3823.159889	38.77223743	63344.68839	27.6	-0.33	0.22	0.17	-0.01	-0.26	-0.68	74.1	14.2	8.1	17.591	43.7	81.8	6.136395	95	51.43	94.3	24.3	59.7	64.321	40.4	10953714	222.873	-0.2	18419.03426	0.455	0.756	4.26526685568992	2.34805745896362	1.24529052860683	1.97772360528885	4.55
El Salvador	Latin America and Caribbean	9535	709.3963335	20.3574442		8291	1161.35614	38.30635882	68784.21416	17827.56769	1870.752474	58.66380302	68784.21416	27.6	-0.36	0.04	-0.02	-0.02	-0.76	-0.59	73.3	11.7	6.9	8.359	38.6	72.7	7.22756	46	38.475	49.4	19.6	79.4	57.643	43.141	6518500	307.811	-0.3	8775.98652	0.383	0.673	3.94329594748665	2.48828413581365	0.922154325231059	1.66275783168157	3.83
Cuba	Latin America and Caribbean	13172	104.8199876	1.29003778		33629	8430.670807	72.2421157	92325.66244	46801.52804	8535.490795	73.53215348	92325.66244	43.1	-0.17	-1.42	0.6	-1.5	-0.28	-0.13	78.8	14.3	11.8	8.621	45.4	77.1	11.711327	36	40.7	51.6	53.2	85.8	53.581	23.098	11317498	110.408	-0.5	9099.67	0.304	0.783	3.95902564289497	2.04300054286763	0.935557645093014	1.55630250076729	3.04
Jamaica	Latin America and Caribbean	4652	431.3826778	10.15651116		19194	2727.225033	73.01253556	23960.82412	23847.35369	3158.60771	83.16904672	23960.82412	31.4	0.41	0.63	0.27	0.09	-0.24	-0.01	74.5	13.1	9.7	9.319	45	56	5.988417	80	59.782	52.8	19	70	66.029	35.773	2973462	266.879	0.2	9761.498522	0.396	0.734	3.98951649285929	2.42631440165213	0.969369311733528	1.90308998699194	3.96
Guatemala	Latin America and Caribbean	1886	756.2356067	26.37279349		7996	2686.85231	61.88537912	35809.84805	9883.731762	3443.087917	88.25817261	35809.84805	22.9	-0.69	-0.39	-0.43	-0.17	-1.05	-1.1	74.3	10.8	6.6	8.494	48.3	51.4	5.813844	95	39.914	70.9	19.4	38.6	62.35	37.543	18249868	157.834	-0.6	8637.555325	0.479	0.663	3.93639084212064	2.19820056301695	0.929112256654661	1.97772360528885	4.79
Costa Rica	Latin America and Caribbean	8323	3294.789916	42.51756111	1.070236092	35775	7807.566881	100.563275	76762.72263	44098.82521	11102.3568	143.0808361	76763.79286	33.6	0.36	1.14	0.76	0.45	0.57	0.78	80.3	15.7	8.7	18.486	48	80.1	7.328796	27	48.145	53.5	45.6	55.4	62.099	21.056	5139053	96.079	0.6	19642.41785	0.288	0.81	4.29319494548162	1.98262847423725	1.26684294870058	1.43136376415899	2.88
Bolivia	Latin America and Caribbean	3486	1353.206001	77.45330491		22289	3715.299398	88.86213869	47622.16241	25776.03732	5068.505399	166.3154436	47622.16241	25.4	-0.56	-0.07	-0.47	-1.02	-1.15	-0.76	71.5	14.2	9	8.554	42.2	69.8	6.443161	155	63.177	64.9	51.8	53.1	71.813	63.224	11832936	10.202	-0.7	8724.47574	0.417	0.718	3.94073933934861	1.00868531919517	0.932169245920792	2.19033169817029	4.17
Panama	Latin America and Caribbean	29726	5632.439235	91.79330849		73119	5685.844591	77.73446264	69125.54207	102845.6382	11318.28383	169.5277711	69125.54207	29.7	0.07	0.57	0.23	0.32	-0.21	-0.51	78.5	12.9	10.2	29.558	49.2	68.1	7.319491	52	53.428	81.8	21.1	74.8	66.589	34.218	4381583	55.133	0.1	31458.69263	0.407	0.815	4.49774067011897	1.74141162476655	1.47067504479894	1.7160033436348	4.07
Ecuador	Latin America and Caribbean	3914	1187.982832	78.4527512		7487	1883.369146	109.8304976	79518.26411	11401.87251	3071.351978	188.2832488	79518.26411	28.1	-0.44	0.02	-0.36	-0.89	-0.55	-0.54	77	14.6	8.9	11.044	45.4	64	8.257429	59	55.212	79.3	38	52.5	68.038	46.728	17888474	66.939	-0.4	11375.33118	0.384	0.759	4.05596404950961	1.82567922015612	1.04312639796723	1.77085201164214	3.84
Suriname	Latin America and Caribbean	1709	1049.34454	20.61514233		7742	7812.80099	180.2980071	44194.97869	9452.380711	8862.145529	200.9131494	44194.97869	29.6	-0.54	0.42	0.42	-0.77	-0.11	-0.43	71.68	13.188028	9.261387	14324.37746	45.4	66.1	6.22977	120	38.753	61.7	31.4	61.5	51.136	12.194	591798	3.612	-0.2	16328.68612	0.436	0.738	4.21295124084259	0.557747741641468	4.1560757565339	2.07918124604762	4.36
Trinidad and Tobago	Latin America and Caribbean	5153	509.4864234	9.04961899		20316	6038.94614	195.386262	50753.11357	25469.47571	6548.432563	204.435881	50753.11357	36.2	0.18	0.64	0.18	-0.14	-0.13	-0.11	73.5	13	11	26.231	45	53.2	6.978735	67	50.062	30.1	32.9	74.5	59.957	18.14	1403374	266.886	0.1	26175.95173	0.323	0.796	4.41790248112731	2.42632579266268	1.41881484744142	1.82607480270083	3.23
Mexico	Latin America and Caribbean	2656	1094.787115	96.57980649	19.19052201	6535	1960.375771	133.2857677	62866.27773	9191.729574	3055.162886	229.8655742	62885.46825	29.3	-0.16	-0.04	-0.85	0.08	-0.67	-0.85	75.1	14.8	8.8	19.16	45.4	80.4	5.516541	33	44.185	60.4	48.4	62.2	60.68	26.932	130262220	66.444	-0.4	19746.43561	0.322	0.779	4.29548871339981	1.82245576955956	1.28239550474253	1.51851393987789	3.22
Paraguay	Latin America and Caribbean	7762	1494.977382	31.33119777		20528	4961.036151	198.929559	48060.85233	28290.82499	6456.013533	230.2607567	48060.85233	26.5	-0.47	0.07	0.02	-0.2	-0.42	-0.87	74.3	12.7	8.5	12.224	46.2	61.9	6.654569	84	59.22	70.5	16.8	49.2	72.094	37.484	7219641	17.144	-0.3	12684.59619	0.446	0.728	4.10327664615403	1.23411215803377	1.08721334123161	1.92427928606188	4.46
Colombia	Latin America and Caribbean	15809	3204.42417	84.29199474		41859	6855.76386	169.1750263	74812.18732	57668.32734	10060.18803	253.4670211	74812.18732	32.2	0.04	0.15	-0.67	0.32	-0.49	-0.18	77.3	14.4	8.5	14.257	50.4	81.1	7.226281	83	57.349	66.7	19.6	55.7	68.771	47.057	51265841	44.223	-0.1	14730.88493	0.428	0.767	4.16822883704439	1.64564820091235	1.1540281496032	1.91907809237607	4.28
Brazil	Latin America and Caribbean	13666	3589.377302	91.15793414		17222	6827.689172	198.2593476	77663.83129	30889.08552	10417.06647	289.4172817	77663.83129	33.5	-0.45	0.26	-0.42	-0.16	-0.18	-0.34	75.88	15.41401	7.9813	14262.93459	53.9	86.8	9.467477	60	54.208	59.1	15	61.6	63.884	27.908	213993441	25.04	-0.2	14651.61618	0.408	0.765	4.16588553317764	1.39863432453839	4.15420889053151	1.77815125038364	4.08
Peru	Latin America and Caribbean	5292	3043.029981	278.9917029		15467	3842.075768	328.6028847	73560.2288	20759.61764	6885.105749	607.5945876	73560.2288	29.1	-0.24	0.22	-0.29	0.53	-0.34	-0.49	76.7	15	9.7	12.252	42.8	78.1	4.99515	88	70.281	56.9	30	58.9	77.633	50.418	33359415	25.129	0	12847.88521	0.395	0.777	4.10883164772864	1.40017520633539	1.08820698813454	1.94448267215017	3.95
Qatar	North Africa and Middle East	42361	4908.132471	8.360279595		53512	3640.782331	12.72809914	80542.1829	95873.36599	8548.914802	21.08837873	80542.1829	31.9	0.91	-1.29	0.67	0.85	1	0.78	80.2	12	9.7	92.418	37	99.2	2.607429	9	56.811	9.9	9.8	76.1	86.82	0.144	2930524	227.322	0.4	92651.07026	0.185	0.848	4.96685044044205	2.35664146835256	1.96575656580179	0.954242509439325	1.85
United Arab Emirates	North Africa and Middle East	209089	2080.074803	6.695970797		908577	5546.095453	14.96334281	98902.75158	1117667.814	7626.170256	21.65931361	98902.75158	34	1.33	-1.18	0.63	1.08	0.92	1.11	78	14.3	12.1	67.462	32.5	86.8	3.334282	3	52.391	6.5	50	76	82.094	0.932	9991083	112.442	0.6	67119.13264	0.079	0.89	4.82684633560229	2.05092856177744	1.82905921227697	0.477121254719662	0.79
Saudi Arabia	North Africa and Middle East	31257	1026.412055	17.60860289		62997	547.513517	7.509759292	70788.36627	94255.45575	1573.925572	25.11836218	70788.36627	31.9	0.15	-1.61	-0.66	0.26	0.24	0.27	75.1	16.1	10.2	47.495	37	84.1	5.230253	17	22.115	7.3	19.9	64.8	55.88	3.016	35340680	15.322	-0.2	46962.14149	0.252	0.854	4.67174789267066	1.18531545800366	1.67664789201001	1.23044892137827	2.52
Morocco	North Africa and Middle East	11935	1176.049016	19.78321633		14523	1402.8705	19.97869207	65953.44084	26459.02626	2578.919516	39.7619084	65953.44084	29.6	-0.03	-0.61	-0.33	-0.12	-0.09	-0.35	76.7	13.7	5.6	7.368	39.5	63	5.2452	70	21.469	31	18.4	29.1	45.306	47.538	37344787	80.08	-0.3	7514.720881	0.454	0.686	3.8759128542386	1.90352406447126	0.867349617188793	1.84509804001426	4.54
Kuwait	North Africa and Middle East	28989	3478.853095	21.57764962		108856	6157.970111	35.43909477	77033.15635	137845.973	9636.823206	57.01674439	77033.15635	33.7	-0.16	-0.68	0.24	0.29	0.33	-0.06	75.5	14.2	7.3	58.59	37	100	5.291385	12	49.683	8.2	4.6	56.6	73.493	1.083	4328553	232.128	0	49846.14407	0.242	0.806	4.69763156838707	2.36572752956432	1.76782349800752	1.07918124604762	2.42
Iraq	North Africa and Middle East	10956	1445.60559	31.11510912		29814	3638.835882	27.55021564	20599.11289	40771.5192	5084.441472	58.66532476	20599.11289	20	-1.33	-1.01	-2.53	-1.38	-1.75	-1.28	70.6	11.3	7.3	10.801	29.5	70.7	4.16663	79	11.619	71.7	25.2	39.5	42.997	19.793	41179351	88.125	-1.5	10881.17246	0.577	0.674	4.03667569365942	1.94509912999946	1.03346396607741	1.89762709129044	5.77
Bahrain	North Africa and Middle East	134720	5300.878856	20.13390189	3354.296615	323190	10832.6684	59.60092547	65463.95202	457911.1649	16133.54726	79.73482736	68818.24864	32.4	0.43	-1.46	-0.59	0.63	0.49	-0.07	77.3	16.3	9.5	42.522	37	89.4	4.748105	14	44.96	13.4	18.8	68.1	73.362	1.081	1748295	1935.907	-0.1	45025.77159	0.212	0.852	4.6534611638993	3.2868844901847	1.62861368314516	1.14612803567824	2.12
Turkey	North Africa and Middle East	28767	2597.108353	24.55353741		111144	8553.226698	72.29306451	66924.31438	139911.8462	11150.33505	96.84660192	66924.31438	31.6	-0.04	-0.86	-1.19	-0.01	-0.36	-0.34	77.7	16.6	8.1	27.701	41.9	75.6	4.216303	17	34.013	26.6	17.4	50.2	52.829	27.043	85042736	104.914	-0.4	28167.39738	0.306	0.82	4.44974672076206	2.02083344545814	1.4424954472826	1.23044892137827	3.06
Jordan	North Africa and Middle East	30923	2867.790136	37.33559048		98037	7487.675068	85.87964852	42184.56246	128961.1903	10355.4652	123.215239	42184.56246	23.2	0.11	-0.75	-0.32	0.23	0.21	0.07	74.5	11.4	10.5	9.858	33.7	91.2	8.119251	46	14.386	25.9	15.4	82.2	39.305	9.202	10269022	109.285	-0.1	9906.053765	0.45	0.729	3.99590068078145	2.03856055660406	0.993788813818705	1.66275783168157	4.5
Iran	North Africa and Middle East	8962	1440.856012	64.94626054		40412	5844.209653	89.83195803	69974.99434	49374.95502	7285.065665	154.7782186	69974.99434	32.4	-0.99	-1.48	-1.67	-1.46	-0.87	-1.09	76.7	14.8	10.3	12.447	40.8	75.4	8.659664	16	17.541	40.6	5.9	67.4	44.665	41.425	85028760	49.831	-1.1	14535.86306	0.459	0.783	4.16244082290162	1.69749960260602	1.09506468954864	1.20411998265592	4.59
Pakistan	Southeast Asia, East Asia, and Oceania	2973	214.1110799	4.518651513		7405	361.3478049	8.329043479	43064.2578	10378.51349	575.4588848	12.84769499	43064.2578	23.5	-0.55	-0.88	-1.85	-0.72	-0.69	-0.84	67.3	8.3	5.2	5.005	33.5	36.9	2.898634	140	21.919	38.8	20	27.6	52.573	55.483	225199929	255.573	-1	4690.484755	0.538	0.557	3.67121772875824	2.40751497088549	0.699404081815337	2.14612803567824	5.38
Bangladesh	Southeast Asia, East Asia, and Oceania	1938	308.7788402	4.545304382		4959	644.6220547	12.33467771	39587.49959	6898.254345	953.4008949	16.87998209	39587.49959	27.5	-0.79	-0.77	-0.92	-0.9	-0.57	-0.98	72.6	11.6	6.2	4.976	32.4	37.4	2.274249	173	36.26	83	20.6	39.8	58.993	55.25	166303494	1265.036	-0.8	4753.725923	0.537	0.632	3.67703413878047	3.10210288470463	0.696880371682762	2.2380461031288	5.37
India	Southeast Asia, East Asia, and Oceania	12347	738.2404417	10.69276835		36301	1763.650832	23.86176579	60688.61196	48648.90631	2501.891273	34.55453414	60688.61196	28.2	0.39	0.15	-0.86	-0.14	-0.02	-0.24	69.7	12.2	6.5	6.681	37.8	34.5	3.53496	133	20.524	13.2	13.5	27.7	49.293	74.27	1393409033	450.419	-0.1	6754.286547	0.488	0.645	3.82957948140172	2.65361670205003	0.824841471753701	2.12385164096709	4.88
Nepal	Southeast Asia, East Asia, and Oceania	6512	878.159065	6.254439776		9863	1913.528326	32.81558973	41284.63699	16375.29267	2791.687391	39.07002951	41284.63699	25	-0.94	-0.09	-0.2	-0.7	-0.49	-0.58	70.8	12.8	5	3.457	32.8	20.2	5.553295	186	82.8	65.1	33.5	29.3	83.805	78.415	29674920	204.43	-0.6	3416.791281	0.452	0.602	3.53361845018345	2.31054462863696	0.538699379542407	2.26951294421792	4.52
